module,type,title,topic,essential_question,standards_summary,lessons,lesson_titles,build_status,canvas_module_id,canvas_url,content_json,activity_types,grading_profile,teacher_graded,textbook_pages,selected_interactives,video_plan,youtube_links,stf_title,stf_format,module_quiz,paper_packet_readiness,paper_packet_sources,paper_packet_activity_conversion,paper_packet_notes,savvas_links_total,savvas_links_linked,savvas_links_remaining,next_action,notes
11,project,PROJECT - Was Abraham Lincoln Racist? Academic Debate,"Civil War, Emancipation, and Reconstruction",Was Abraham Lincoln racist?,"HSS: 8.9.4, 8.9.5, 8.10.4, 8.10.5, 8.11.5 | Analysis Skills: Research, Evidence, and Point of View 1, Research, Evidence, and Point of View 2, Research, Evidence, and Point of View 3, Research, Evidence, and Point of View 4 | CCSS ELA: RH.6-8.1, RH.6-8.2, RH.6-8.4, RH.6-8.6, RH.6-8.8, WHST.6-8.1, WHST.6-8.4, WHST.6-8.5, WHST.6-8.6, WHST.6-8.8, WHST.6-8.9, SL.8.4, SL.8.5, SL.8.6 | ELD: Part I A.1, Part I A.3, Part I B.5, Part I B.6, Part I B.7, Part I C.10, Part I C.11, Part I C.12",,,built,22378,https://altus.instructure.com/courses/3769/modules#module_22378,course_planning/content/8-2/module-11.json,project overview | background video check | toggleable evidence cards | self-ranked evidence activity | quote-to-reason matching checks | position builder scaffold | teacher-graded academic debate presentation | oral presentation and response,Background and evidence checks are low-stakes self-graded checkpoints with multiple attempts; evidence ranking is a thinking step; Position Builder is required scaffolding/notes; final slide presentation and oral response are the teacher-graded products.,yes - final presentation and oral presentation/response,,,,,,,,draftable,Original Sway project text pasted by Baptiste on 2026-06-18 | Local guided notes DOCX | Local presentation template PPTX | Local Lincoln cheat sheet DOCX/PDF | ALPLM teaching guide: Examining Lincoln's Views on African Americans and Slavery | California HSS content standards | National Archives Emancipation Proclamation | Library of Congress Abraham Lincoln and Emancipation,"Print the overview, background check, ten evidence cards, quote-to-reason matching tables, Position Builder organizer, presentation directions, oral presentation directions, and rubrics.","Before live Canvas build, visually preview recommended YouTube videos in browser/Canvas, decide whether to use generated images or existing Sway/local images for each evidence card, and test whether Canvas can support a harmless zero-point ordering/ranking interaction.",0,0,0,Built; review project flow and rubric.,"DRAFT 2026-06-18 with Baptiste. Canvas-first academic debate project converted from Sway/Padlet/Edgenuity workflow. Pushed to Canvas course 3769 as unpublished teacher-review draft module 22378. Evidence pages were expanded on 2026-06-18 with full Sway-style reading paragraphs, generated reason-specific visuals, clean rank cards, source links, and revised forced-match evidence checks. Keep the hook question direct: Was Abraham Lincoln Racist? Students discover nuance through evidence."
12,standard,"Mining, Railroads & Western Agriculture",Industrial and Economic Growth (1865-1914),"How did mining, railroads, and farming transform the West, and who paid the highest costs for that expansion?","HSS: 8.12.1, 8.12.2, 8.12.5 | CCSS ELA: RH.1, RH.2, RH.3, RH.7 | ELD: Part I A.1, Part I A.3, Part I B.6",T8.L1; T8.L2,"T8.L1: Mining, Railroads, and the Economy (p. 497-507); T8.L2: Western Agriculture (p. 508-519)",built,22383,https://altus.instructure.com/courses/3769/modules#module_22383,course_planning/content/8-2/module-12.json,eText reading | video check | Interactive Gallery | Interactive Map | 3-D Model | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T8.L1 pp. 497-507 | T8.L2 pp. 508-519,Interactive Gallery: Boomtowns and Ghost Towns | Interactive Map: The Transcontinental Railroad | Interactive Map: Cattle Trails | 3-D Model: Nineteenth-Century Sod House,The First Transcontinental Railroad In Depth | The Homestead Act Spurs Westward Expansion,https://www.youtube.com/watch?v=9jBQpCP-_Fk | https://www.youtube.com/watch?v=OK32Vfes108,The Train That Helped Erase the Bison,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,"Textbook T8.L1 pp. 497-507 | Textbook T8.L2 pp. 508-519 | Savvas Lesson 1 eText: Mining, Railroads, and the Economy | Savvas Lesson 2 eText: Western Agriculture | Savvas Interactive Gallery: Boomtowns and Ghost Towns | Savvas Interactive Map: The Transcontinental Railroad | Savvas Interactive Map: Cattle Trails | Savvas 3-D Model: Nineteenth-Century Sod House | Video: https://www.youtube.com/watch?v=9jBQpCP-_Fk | Video: https://www.youtube.com/watch?v=OK32Vfes108 | STF video: https://www.youtube.com/watch?v=cbkQBhJylZM | STF image: assets/module-12-train-helped-erase-bison.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67534/preview",Boomtowns gallery: turn into a cause/effect chart about boomtowns and ghost towns. Transcontinental Railroad map: print route/map evidence and ask connection questions. Cattle Trails map: print trail routes and ask market/geography questions. Sod house model: convert to a labeled diagram or short source analysis about Plains farming conditions. STF: use the railroad/bison case as a serious sidebar on costs of expansion.,Printable quizzes were not harvested live in this resumed build; backfill later if exact textbook quiz matching is required.,6,6,0,Built; review only if content changes.,
13,standard,Hardship for American Indians,Industrial and Economic Growth (1865-1914),How did U.S. expansion and assimilation policies create hardship for American Indian nations and communities?,"HSS: 8.12.1, 8.12.2, 8.12.3 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.1, Part I A.3, Part I B.6",T8.L3,T8.L3: Hardship for American Indians (p. 520-531),built,22384,https://altus.instructure.com/courses/3769/modules#module_22384,course_planning/content/8-2/module-13.json,eText reading | video check | Interactive Map | Primary Source | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T8.L3 pp. 520-531,"Interactive Map: Native American Losses, 1850-1890 | Primary Source: Chief Joseph, I Will Fight No More Forever",Native American Boarding Schools: A Lost History,https://www.youtube.com/watch?v=DsRcPZp7RHA,"“Kill the Indian, Save the Man”: A Lesson for Children",choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,"Textbook T8.L3 pp. 520-531 | Savvas eText: Hardship for American Indians (f79399d5-e988-4945-a7b5-e53986557b42) | Savvas Interactive Map: Native American Losses, 1850-1890 | Savvas Primary Source: Chief Joseph, I Will Fight No More Forever | Video: https://www.youtube.com/watch?v=DsRcPZp7RHA | STF video: https://www.youtube.com/watch?v=UGqWRyBCHhw | STF image: course_planning/content/8-2/assets/module-13-boarding-school-symbolic.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67535/preview","Native American Losses, 1850-1890: print the map/image and ask pattern, location, and cause/effect questions. Chief Joseph, I Will Fight No More Forever: print a short excerpt and ask sourcing/context questions.",Printable quizzes were not harvested live in this resumed build; backfill later if exact textbook quiz matching is required.,3,3,0,Built; review only if content changes.,
14,standard,"Industry, Corporations & Labor",Industrial and Economic Growth (1865-1914),"How did big business change American life, and why did workers organize for better conditions?","HSS: 8.12.4, 8.12.5, 8.12.6 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.1, Part I A.3, Part I B.6",T8.L4; T8.L5,T8.L4: Industry and Corporations (p. 532-540); T8.L5: The Labor Movement (p. 541-547),built,22385,https://altus.instructure.com/courses/3769/modules#module_22385,course_planning/content/8-2/module-14.json,eText reading | video check | Interactive Map | Interactive Chart | Interactive Gallery | Interactive Timeline | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T8.L4 pp. 532-540 | T8.L5 pp. 541-547,Interactive Map: Railroads and Industry | Interactive Chart: Advantages and Disadvantages of Big Business | Interactive Gallery: Late 1800s Working Conditions | Interactive Timeline: The Labor Movement,The Rise of Big Business - Captains of Industry or Robber Barons? | Labor Unions in the Gilded Age,https://www.youtube.com/watch?v=CLpSWbVx5_8 | https://www.youtube.com/watch?v=l2o2nrVZaNE,"The Company That Owned Your Job, Your House, and Your Rent",choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,Textbook T8.L4 pp. 532-540 | Textbook T8.L5 pp. 541-547 | Savvas eText: Industry and Corporations (f0c6ab51-6a13-40ee-958d-f13ffaeef844) | Savvas eText: The Labor Movement (f84ec1f9-8428-432c-ab10-526995d46bdf) | Savvas Interactive Map: Railroads and Industry | Savvas Interactive Chart: Advantages and Disadvantages of Big Business | Savvas Interactive Gallery: Late 1800s Working Conditions | Savvas Interactive Timeline: The Labor Movement | Video: https://www.youtube.com/watch?v=CLpSWbVx5_8 | Video: https://www.youtube.com/watch?v=l2o2nrVZaNE | STF video: https://www.youtube.com/watch?v=Ps5DSJYwuNo | STF image: course_planning/content/8-2/assets/module-14-company-owned-job-house-rent.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67536/preview,"Railroads and Industry: print the map/image and ask pattern, location, and cause/effect questions. Advantages and Disadvantages of Big Business: convert to a table, compare/sort task, or short evidence questions. Late 1800s Working Conditions: print selected images with caption/evidence questions. The Labor Movement: convert to a sequencing task or cause/effect timeline.",Printable quizzes were not harvested live in this resumed build; backfill later if exact textbook quiz matching is required.,6,6,0,Built; review only if content changes.,
15,standard,New Technologies,Industrial and Economic Growth (1865-1914),"How did new technologies change daily life, business, and Americans’ expectations about the future?","HSS: 8.12.5, 8.12.6 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.1, Part I A.3, Part I B.6",T8.L6,T8.L6: New Technologies (p. 548-555),built,22386,https://altus.instructure.com/courses/3769/modules#module_22386,course_planning/content/8-2/module-15.json,eText reading | video check | Interactive Timeline | Interactive Chart | Primary Source | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T8.L6 pp. 548-555,Interactive Timeline: American Inventors That Changed Society | Interactive Chart: Inventions Improve Daily Life | Primary Source: Quotations from Thomas Edison,Thomas Edison’s Menlo Park Laboratory,https://www.youtube.com/watch?v=jU3lj4jTUWw,Can Electricity Cure What Ails You?,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,Textbook T8.L6 pp. 548-555 | Savvas eText: New Technologies (0ec5197c-a813-427a-a5f3-656b34bb5c94) | Savvas Interactive Timeline: American Inventors That Changed Society | Savvas Interactive Chart: Inventions Improve Daily Life | Savvas Primary Source: Quotations from Thomas Edison | Video: https://www.youtube.com/watch?v=jU3lj4jTUWw | STF image: course_planning/content/8-2/assets/module-15-electric-cure-all.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67537/preview,"American Inventors That Changed Society: convert to a sequencing task or cause/effect timeline. Inventions Improve Daily Life: convert to a table, compare/sort task, or short evidence questions. Quotations from Thomas Edison: print a short excerpt and ask sourcing/context questions.",Printable quizzes were not harvested live in this resumed build; backfill later if exact textbook quiz matching is required.,4,4,0,Built; review only if content changes.,
16,standard,Immigration & Urbanization,The Progressive Era (1865-1920),How did immigration and city growth reshape American life in the late 1800s and early 1900s?,"HSS: 8.12.6, 8.12.7 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.1, Part I A.3, Part I B.6",T9.L1; T9.L2,T9.L1: A New Wave of Immigration (p. 563-572); T9.L2: Urbanization (p. 573-579),built,22387,https://altus.instructure.com/courses/3769/modules#module_22387,course_planning/content/8-2/module-16.json,eText reading | video check | Interactive Chart | Interactive Gallery | 3-D Model | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T9.L1 pp. 563-572 | T9.L2 pp. 573-579,"Interactive Chart: Immigration, 1870-1910 | Interactive Chart: Issues Facing Immigrants | Interactive Gallery: Urban Problems | 3-D Model: Living in a Tenement","Growth, Cities, and Immigration",https://www.youtube.com/watch?v=RRhjqqe750A,The Gang Neighborhood Built on a Poisoned Pond,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,"Textbook T9.L1 pp. 563-572 | Textbook T9.L2 pp. 573-579 | Savvas eText: A New Wave of Immigration (7c846079-413f-4be7-8995-00092e05eac6) | Savvas eText: Urbanization (727333e3-c1b0-415d-9f8e-faf3bce7be7b) | Savvas Interactive Chart: Immigration, 1870-1910 | Savvas Interactive Chart: Issues Facing Immigrants | Savvas Interactive Gallery: Urban Problems | Savvas 3-D Model: Living in a Tenement | Video: https://www.youtube.com/watch?v=RRhjqqe750A | STF image: course_planning/content/8-2/assets/module-16-poisoned-pond-neighborhood.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67538/preview","Immigration, 1870-1910: convert to a table, compare/sort task, or short evidence questions. Issues Facing Immigrants: convert to a table, compare/sort task, or short evidence questions. Urban Problems: print selected images with caption/evidence questions. Living in a Tenement: convert to a labeled diagram or observation checklist.",Printable quizzes were not harvested live in this resumed build; backfill later if exact textbook quiz matching is required.,6,6,0,Built; review only if content changes.,
17,standard,The Progressive Movement,The Progressive Era (1865-1920),"How did Progressives try to reform government, business, and society?","HSS: 8.12.7, 8.12.8, 8.12.9 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.1, Part I A.3, Part I B.6",T9.L3; T9.L4,T9.L3: The Rise of Progressivism (p. 580-589); T9.L4: The Progressive Presidents (p. 590-596),built,22388,https://altus.instructure.com/courses/3769/modules#module_22388,course_planning/content/8-2/module-17.json,eText reading | video check | Interactive Timeline | Interactive Chart | Interactive Primary Source | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T9.L3 pp. 580-589 | T9.L4 pp. 590-596,"Interactive Timeline: Government Reforms in the Progressive Era | Interactive Chart: Progressive Political Reforms | Interactive Primary Source: How the Other Half Lives, Jacob Riis | Interactive Chart: Three Presidents’ Accomplishments",The Progressive Era | Progressive Presidents,https://www.youtube.com/watch?v=exPJzvz6gsg | https://www.youtube.com/watch?v=F7flSW1PGsA,When Food Got So Gross the Government Had to Step In,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,"Textbook T9.L3 pp. 580-589 | Textbook T9.L4 pp. 590-596 | Savvas eText: The Rise of Progressivism (b24c840f-1faa-4a58-b6c9-465804b79409) | Savvas eText: The Progressive Presidents (75f7a434-65ae-422f-83a2-f161b44d8ae1) | Savvas Interactive Timeline: Government Reforms in the Progressive Era | Savvas Interactive Chart: Progressive Political Reforms | Savvas Interactive Primary Source: How the Other Half Lives, Jacob Riis | Savvas Interactive Chart: Three Presidents’ Accomplishments | Video: https://www.youtube.com/watch?v=exPJzvz6gsg | Video: https://www.youtube.com/watch?v=F7flSW1PGsA | STF video: https://www.youtube.com/watch?v=JwScHaHxIJM | STF image: course_planning/content/8-2/assets/module-17-food-got-gross.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67539/preview","Government Reforms in the Progressive Era: convert to a sequencing task or cause/effect timeline. Progressive Political Reforms: convert to a table, compare/sort task, or short evidence questions. How the Other Half Lives, Jacob Riis: print a short excerpt and ask sourcing/context questions. Three Presidents’ Accomplishments: convert to a table, compare/sort task, or short evidence questions.",Printable quizzes were not harvested live in this resumed build; backfill later if exact textbook quiz matching is required.,6,6,0,Built; review only if content changes.,
18,standard,Social Justice & a Changing Culture,The Progressive Era (1865-1920),How did Americans push for social justice and create new cultural forms during the Progressive Era?,"HSS: 8.12.7, 8.12.8, 8.12.9 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.1, Part I A.3, Part I B.6",T9.L5; T9.L6,T9.L5: Progress and Setbacks for Social Justice (p. 597-608); T9.L6: A Changing American Culture (p. 609-619),built,22389,https://altus.instructure.com/courses/3769/modules#module_22389,course_planning/content/8-2/module-18.json,eText reading | video check | Interactive Gallery | Interactive Timeline | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T9.L5 pp. 597-608 | T9.L6 pp. 609-619,"Interactive Gallery: New Opportunities for Women | Interactive Timeline: African-American Reform Movement, 1895-1915 | Interactive Gallery: Leisure Activities at the Turn of the Century | Interactive Gallery: American Realist Artists",Booker T. Washington and W.E.B. Du Bois | Theodore Roosevelt: The Rough Rider,https://www.youtube.com/watch?v=zHn-vSTMOWE | https://www.youtube.com/watch?v=KkoZujArZFc,The President Too Weird to Invent,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,"Textbook T9.L5 pp. 597-608 | Textbook T9.L6 pp. 609-619 | Savvas eText: Progress and Setbacks for Social Justice (6ab09755-f5db-4287-9874-e432465d2e59) | Savvas eText: A Changing American Culture (bda4b33b-973f-43ce-905b-5ae1be27ae32) | Savvas Interactive Gallery: New Opportunities for Women | Savvas Interactive Timeline: African-American Reform Movement, 1895-1915 | Savvas Interactive Gallery: Leisure Activities at the Turn of the Century | Savvas Interactive Gallery: American Realist Artists | Video: https://www.youtube.com/watch?v=zHn-vSTMOWE | Video: https://www.youtube.com/watch?v=KkoZujArZFc | STF video: https://www.youtube.com/watch?v=KkoZujArZFc | STF image: course_planning/content/8-2/assets/module-18-president-too-weird.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67540/preview","New Opportunities for Women: print selected images with caption/evidence questions. African-American Reform Movement, 1895-1915: convert to a sequencing task or cause/effect timeline. Leisure Activities at the Turn of the Century: print selected images with caption/evidence questions. American Realist Artists: print selected images with caption/evidence questions.",Printable quizzes were not harvested live in this resumed build; backfill later if exact textbook quiz matching is required.,6,6,0,Built; review only if content changes.,
19,project,PROJECT - Current Events Connection,"Current events, historical thinking, and course connections","How can a current event help us understand patterns, conflicts, and choices from the past?","HSS: Course-specific US History 8-2 standards connected to the student-selected current event | CCSS ELA: RH.1, RH.2, RH.6, RH.7, RH.8, W.8.1, W.8.4, W.8.7, W.8.8, W.8.9, SL.8.4, SL.8.5 | ELD: Part I A.3, Part I B.6, Part I B.7, Part I C.10, Part I C.11",,,built,22390,https://altus.instructure.com/courses/3769/modules#module_22390,course_planning/content/8-2/module-19.json,project overview | current events and history connection page | source reliability check | article/course-connection organizer | teacher-graded current events presentation | final exam transition wrap-up,Source reliability check is a short auto-graded checkpoint; project prep organizer is completion scaffolding; final presentation is the only teacher-graded item using a 20-point clickable rubric.,yes - one teacher-graded final project only,,,,,,,,sources tracked,"Original Sway project: https://sway.cloud.microsoft/g7l55GybTkn8bQv5?ref=Link | Generated images in course_planning/content/8-2 or reusable 8-1/module-19-assets/ | Google Slides template link | PowerPoint template link | BibGuru MLA citation tool | News source links saved in this JSON | Final prompt, organizer, answer key, and rubric in this JSON","Print the overview, source-check chart, article/course-connection organizer, 6-slide project directions, final checklist, and 20-point rubric. Students can complete the same project on paper or with a printed slide-planning worksheet.","This project should become a reusable middle-school current events project template across courses. Course-specific versions should swap examples and standards, not rebuild the whole project.",0,0,0,Built; review project flow and rubric.,Adapted from the reusable 8-1 current-events project for US History 8-2 on 2026-06-18.
20,exam,Study Guide & Final Exam,Semester 2 review and Mastery Connect final exam,How can students review the major ideas from Semester 2 and prepare for the final exam?,"HSS: Semester 2 cumulative review standards | CCSS ELA: RH.1, RH.2, RH.3, RH.7 | ELD: Part I A.3, Part I B.6",,,built,22391,https://altus.instructure.com/courses/3769/modules#module_22391,course_planning/content/8-2/module-20.json,final exam review page | downloadable study guide | Mastery Connect final exam directions,Study guide is review/support; actual scored final exam will be connected or confirmed in Mastery Connect.,no - no teacher-graded Canvas item in this temporary review module,,,,,,,,"placeholder only - wait for Mastery Connect final exam, then build a shorter targeted study guide from that assessment",Teacher-provided final exam or Mastery Connect blueprint will drive the final study guide later. The old 8-2 PDF guide was reviewed and judged too long for middle school use.,"After the final exam is confirmed, create a shorter study guide that works backward from the tested topics and skills.",Actual Mastery Connect exam is not included here. This module currently contains placeholder directions for the study guide and final exam.,0,0,0,Built; connect or confirm Mastery Connect final exam when ready.,Created 2026-06-18 as a review/placeholder module for the Semester 2 Final Exam. The actual exam will be connected later through Mastery Connect.
