module,type,title,topic,lessons,lesson_titles,build_status,canvas_module_id,canvas_url,content_json,activity_types,grading_profile,teacher_graded,textbook_pages,selected_interactives,video_plan,youtube_links,stf_title,stf_format,module_quiz,paper_packet_readiness,paper_packet_sources,paper_packet_activity_conversion,paper_packet_notes,savvas_links_total,savvas_links_linked,savvas_links_remaining,next_action,notes
11,standard,"Adams, Jefferson & a Changing Nation",The Early Republic (1789-1825),T3.L3; T3.L4,T3.L3: Presidents Adams and Jefferson (p. 191-201); T3.L4: A Changing Nation (p. 202-213),built,22357,https://altus.instructure.com/courses/3768/modules#module_22357,course_planning/content/8-1/module-11.json,eText reading | video check | Interactive Chart | Interactive Map | check for understanding | stranger than fiction (hotspot) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T3.L3 pp. 191-201 | T3.L4 pp. 202-213,"Interactive Chart: Hamilton, Adams, or Jefferson? | Interactive Map: Expansion and Exploration","John Adams Presidency: The XYZ Affair, Alien and Sedition Acts | The Louisiana Purchase",https://www.youtube.com/watch?v=x9zf4O3LbIY | https://www.youtube.com/watch?v=TN4bFvwW8h4,Jefferson's Monster Map,hotspot,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,"Textbook T3.L3 pp. 191-201 | Textbook T3.L4 pp. 202-213 | Video: https://www.youtube.com/watch?v=x9zf4O3LbIY | Video: https://www.youtube.com/watch?v=TN4bFvwW8h4 | Savvas Interactive Chart: Hamilton, Adams, or Jefferson? | Savvas Interactive Map: Expansion and Exploration | Savvas printable quiz questions for T3.L3 and T3.L4 captured from Chrome screenshots on 2026-06-15 | STF image: assets/module-11-jefferson-monster-map-hotspot.png | STF: Jefferson's Monster Map","Hamilton, Adams, or Jefferson?: convert to a comparison table where students match leaders to parties, policies, and beliefs. Expansion and Exploration: print a U.S. expansion map and ask students to identify the Louisiana Purchase, Mississippi/Missouri River connections, New Orleans, and Lewis and Clark's general route.",Paper packet can be drafted from this JSON after Canvas build is verified. STF hotspot image is saved locally at assets/module-11-jefferson-monster-map-hotspot.png and should be used as the packet visual if this activity is converted to paper.,4,0,4,Run Savvas linking pass for remaining items.,
12,project,PROJECT - Dueling Leaders: Burr vs Hamilton,The Early Republic (1789-1825),,,built,22358,https://altus.instructure.com/courses/3768/modules#module_22358,course_planning/content/8-1/module-12.json,project overview | case-file reading | video check | 5 Ws categorization | legal evidence categorization | trial prep outline | teacher-graded closing argument | wrap-up page,Case basics and evidence sorting are auto-graded gated checks with unlimited attempts; trial prep is required scaffolding/completion only; final closing argument is the only teacher-graded item using a 20-point clickable rubric.,yes - one teacher-graded final project only,,,Hamilton: Building America - Alexander Hamilton vs. Aaron Burr,https://www.youtube.com/watch?v=VjsqZHb32Gk,,,,sources tracked,"Generated artifact images in course_planning/content/8-1/module-12-assets/ | Original Sway project text: https://sway.cloud.microsoft/CqhzRWC3GQ84zhCk?ref=Link | HISTORY video: https://www.youtube.com/watch?v=VjsqZHb32Gk | Video subtitles saved under .firecrawl/module-12-video-check/ | Founders Online: Hamilton's statement before the duel | National Park Service: Hamilton-Burr duel overview | PBS American Experience: dueling culture and Code Duello | Project outline, evidence cards, final prompt, and rubric in this JSON","Print the case-file story, exhibit images, 5 Ws sort as a table, evidence sort as a matching/sorting table, the trial prep outline, and the 20-point rubric. Students can complete the same argument on paper.",Canvas should be built first. Paper packet can later be generated from this JSON and the saved images without recreating the design.,0,0,0,Built; review project flow and rubric.,DRAFTED 2026-06-16 with Baptiste. Canvas-first courtroom case-file project. One teacher-graded final assignment; all earlier checks are auto-graded or completion scaffolds. Images saved in module-12-assets for Canvas and future paper packet use.
13,standard,Madison & the War of 1812,The Early Republic (1789-1825),T3.L5,T3.L5: Madison and the War of 1812 (p. 214-226),built,22359,https://altus.instructure.com/courses/3768/modules#module_22359,course_planning/content/8-1/module-13.json,eText reading | video check | Interactive Map | check for understanding | stranger than fiction (ordering) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T3.L5 pp. 214-226,Interactive Map: Indian Lands Lost by 1810 | Interactive Map: The War of 1812,What Caused the War of 1812? | The Battle of Fort McHenry: War of 1812,https://www.youtube.com/watch?v=LahKRJKq6_w | https://www.youtube.com/watch?v=N20k3ix_RLI,The Battle After the Treaty,ordering,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T3.L5 pp. 214-226 | Video: https://www.youtube.com/watch?v=LahKRJKq6_w | Video: https://www.youtube.com/watch?v=N20k3ix_RLI | Savvas Interactive Map: Indian Lands Lost by 1810 | Savvas Interactive Map: The War of 1812 | Savvas printable quiz doc downloaded to .savvas/module-13/printable-quiz-madison-war-1812.doc | STF image: assets/module-13-battle-after-treaty-v2.png | STF Canvas file: https://altus.instructure.com/courses/3768/files/67301/preview | Fact check: National Park Service Treaty of Ghent article; U.S. Army Center of Military History War of 1812 campaign summary,"Indian Lands Lost by 1810: print a simplified map and ask students to describe the pattern of land loss and settlement pressure. The War of 1812 map: print a North America map and ask students to label or identify Canada, the Great Lakes, Washington, D.C., Baltimore/Fort McHenry, and New Orleans.",Paper packet can be drafted from this JSON after Canvas build is verified. The Savvas standards panel was not captured from the printable quiz file; exact HSS codes should be checked later if required for admin paperwork.,3,0,3,Run Savvas linking pass for remaining items.,
14,standard,Monroe's Presidency and Everyday Life,The Early Republic (1789-1825),T3.L6,T3.L6: Monroe's Presidency and Everyday Life (p. 227-239),built,22360,https://altus.instructure.com/courses/3768/modules#module_22360,course_planning/content/8-1/module-14.json,eText reading | video check | Interactive Chart | Interactive Gallery | check for understanding | stranger than fiction (ordering) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T3.L6 pp. 227-239,Interactive Chart: The Beginnings of Sectionalism | Interactive Gallery: The Expansion of Federal Power,Building the Erie Canal: Explained | The Erie Canal Song,https://www.youtube.com/watch?v=n6n7THbuDS8 | https://www.youtube.com/watch?v=vQE2sNfYXpg,The Canal Wedding That Changed America,ordering,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,"Textbook T3.L6 pp. 227-239 | Video: https://www.youtube.com/watch?v=n6n7THbuDS8 | Song/video: https://www.youtube.com/watch?v=vQE2sNfYXpg | Savvas Interactive Chart: The Beginnings of Sectionalism | Savvas Interactive Gallery: The Expansion of Federal Power | Savvas printable quiz doc downloaded to .savvas/module-14/printable-quiz-monroe-presidency-everyday-life.doc | STF image: assets/module-14-wedding-of-the-waters.png | STF Canvas file: https://altus.instructure.com/courses/3768/files/67296/preview | Fact check: Erie Canal Wedding of the Waters, completion of canal in 1825, and Lake Erie-to-New York Harbor symbolism","Sectionalism chart: convert to a three-region comparison chart for North, South, and West interests. Expansion of federal power gallery: convert to a match-the-case worksheet for McCulloch v. Maryland, Gibbons v. Ogden, and federal authority. Erie Canal STF: print route image and have students order Lake Erie, Erie Canal, Hudson River, New York Harbor/Atlantic.",Paper packet can be drafted from this JSON after Canvas build is verified. Preferred video URLs should stay unless the embed fails in Canvas or Baptiste approves a replacement; yt-dlp failure alone is not enough reason to swap them.,3,0,3,Run Savvas linking pass for remaining items.,
15,standard,The Age of Jackson,The Age of Jackson and Westward Expansion (1824-1860),T4.L1; T4.L2,T4.L1: Jackson Wins the Presidency (p. 247-258); T4.L2: Political Conflict and Economic Crisis (p. 259-269),built,22361,https://altus.instructure.com/courses/3768/modules#module_22361,course_planning/content/8-1/module-15.json,eText reading | video check | Interactive Timeline | Interactive Chart | Interactive Map | check for understanding | stranger than fiction (categorization) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T4.L1 pp. 247-258 | T4.L2 pp. 259-269,Interactive Timeline: Changing Voting Rights in Early America | Interactive Chart: Political Parties in the Age of Jackson | Interactive Map: Tariffs and Trade | Interactive Chart: Disagreements Over the Bank,Andrew Jackson: 7th President of the United States,https://www.youtube.com/watch?v=X2AHvAJktAg,Old Hickory Would Not Back Down,categorization,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T4.L1 pp. 247-258 | Textbook T4.L2 pp. 259-269 | Video: https://www.youtube.com/watch?v=X2AHvAJktAg | Savvas Interactive Timeline: Changing Voting Rights in Early America | Savvas Interactive Chart: Political Parties in the Age of Jackson | Savvas Interactive Map: Tariffs and Trade | Savvas Interactive Chart: Disagreements Over the Bank | Savvas printable quiz docs downloaded to .savvas/module-15/ | STF image: assets/module-15-old-hickory-would-not-back-down.png | STF Canvas file: https://altus.instructure.com/courses/3768/files/67302/preview | Fact check: U.S. Senate and Library of Congress sources on the 1835 Jackson assassination attempt,"Voting rights timeline: convert to a chronological chart showing voting expansion for white men and limits for women, Black Americans, and Native peoples. Political parties chart: make a compare/contrast table for Democrats and Whigs. Tariffs and Trade map: print a sectional map and ask students why North/West/South interests differed. Bank chart: convert to a claim/evidence sort on Jackson vs bank supporters.",Paper packet can be drafted from this JSON after Canvas build is verified.,6,0,6,Run Savvas linking pass for remaining items.,
16,standard,American Indians & Westward Movement,The Age of Jackson and Westward Expansion (1824-1860),T4.L3; T4.L4,T4.L3: Conflict with American Indians (p. 270-277); T4.L4: Westward Movement (p. 278-284),built,22363,https://altus.instructure.com/courses/3768/modules#module_22363,course_planning/content/8-1/module-16.json,eText reading | video check | Interactive Map | Interactive Gallery | check for understanding | stranger than fiction (categorization) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T4.L3 pp. 270-277 | T4.L4 pp. 278-284,Interactive Map: Selected Native American Groups | Interactive Map: The Trail of Tears | Interactive Gallery: New Transportation Methods | Interactive Gallery: New Technology: The Steamboat,Worcester v. Georgia Supreme Court Case | Westward Expansion Transportation,https://www.youtube.com/watch?v=xg9R0R7qix0 | https://www.youtube.com/watch?v=bI-hutfc-5c,"The Cherokee Won, Then Lost It All",categorization,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T4.L3 pp. 270-277 | Textbook T4.L4 pp. 278-284 | Video: https://www.youtube.com/watch?v=xg9R0R7qix0 | Video: https://www.youtube.com/watch?v=bI-hutfc-5c | Savvas Interactive Map: Selected Native American Groups | Savvas Interactive Map: The Trail of Tears | Savvas Interactive Gallery: New Transportation Methods | Savvas Interactive Gallery: New Technology: The Steamboat | Savvas printable quiz docs downloaded to .savvas/module-16/ | STF image: assets/module-16-won-in-court-forced-west.png | STF Canvas file: https://altus.instructure.com/courses/3768/files/67304/preview | Fact check: National Park Service Trail of Tears; Worcester v. Georgia official/background sources,"Selected Native American Groups map: print a regional map and have students identify how many nations lived in areas settlers wanted. Trail of Tears map: print the route and ask students to describe direction, distance, and hardship. Transportation galleries: convert to a match-the-method worksheet for roads, canals, steamboats, and wagons.",Paper packet can be drafted from this JSON after Canvas build is verified.,6,0,6,Run Savvas linking pass for remaining items.,
17,standard,Settling Oregon & Independence for Texas,The Age of Jackson and Westward Expansion (1824-1860),T4.L5; T4.L6,T4.L5: Settling Oregon Country (p. 285-292); T4.L6: New Spain and Independence for Texas (p. 293-301),built,22364,https://altus.instructure.com/courses/3768/modules#module_22364,course_planning/content/8-1/module-17.json,eText reading | video check | Interactive Map | Interactive Gallery | Interactive Timeline | check for understanding | stranger than fiction (ordering) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T4.L5 pp. 285-292 | T4.L6 pp. 293-301,Interactive Map: Trails West | Interactive Gallery: Life on the Oregon Trail | Interactive Map: Texas and the Southwest | Interactive Timeline: Independence for Texas,Westward Expansion And The Oregon Trail | Texas Revolution in 3 Minutes,https://www.youtube.com/watch?v=14wE9-kHb2M | https://www.youtube.com/watch?v=sfm7CTpyBgU,Texas Was Its Own Country,ordering,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T4.L5 pp. 285-292 | Textbook T4.L6 pp. 293-301 | Video: https://www.youtube.com/watch?v=14wE9-kHb2M | Video: https://www.youtube.com/watch?v=sfm7CTpyBgU | STF video: https://www.youtube.com/watch?v=pBkI-Y6LP8w | STF image: assets/module-17-republic-of-texas.png | STF Canvas file: https://altus.instructure.com/courses/3768/files/67305/preview,"Oregon map: print the Oregon Trail and ask students to trace direction, obstacles, and destination. Texas timeline/map: convert to order events from Mexican Texas to Texas independence to annexation.",Savvas printable quizzes and exact interactive titles should be backfilled during the later Savvas linking pass.,6,0,6,Run Savvas linking pass for remaining items.,
18,standard,Manifest Destiny in California & the Southwest,The Age of Jackson and Westward Expansion (1824-1860),T4.L7,T4.L7: Manifest Destiny in California and the Southwest (p. 302-311),built,22365,https://altus.instructure.com/courses/3768/modules#module_22365,course_planning/content/8-1/module-18.json,eText reading | video check | Interactive Map | Interactive Gallery | check for understanding | stranger than fiction (ordering) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T4.L7 pp. 302-311,Interactive Map: The Growth of the West to 1860 | Interactive Gallery: The People of California,Manifest Destiny - One Minute History | What Was the Mexican-American War?,https://www.youtube.com/watch?v=LhFioJhryJM | https://www.youtube.com/watch?v=8U9vbZwFZL4,The Bear Flag Republic: It Bearly Lasted a Month,ordering,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T4.L7 pp. 302-311 | Video: https://www.youtube.com/watch?v=LhFioJhryJM | Video: https://www.youtube.com/watch?v=8U9vbZwFZL4 | STF video: https://www.youtube.com/watch?v=nE2U7YBsqPI | Savvas Interactive Map: The Growth of the West to 1860 | Savvas Interactive Gallery: The People of California | Savvas printable quiz doc downloaded to .savvas/module-18/printable-quiz-manifest-destiny-california-southwest.doc | STF image: assets/module-18-bear-flag-republic.png | STF Canvas file: https://altus.instructure.com/courses/3768/files/67306/preview,"Growth of the West map: print a territorial-growth map and ask students to identify Mexican Cession, Texas, Oregon, and California. People of California gallery: convert to a people-and-impact chart for Native peoples, Californios/Mexican Americans, settlers, miners, and Mormons.",Question 1 from Savvas printable quiz should be answer-key confirmed later if possible.,3,0,3,Run Savvas linking pass for remaining items.,
19,project,PROJECT - Current Events Connection,"Current events, historical thinking, and course connections",,,built,22362,https://altus.instructure.com/courses/3768/modules#module_22362,course_planning/content/8-1/module-19.json,project overview | current events and history connection page | source reliability check | article/course-connection organizer | teacher-graded current events presentation | final exam transition wrap-up,Source reliability check is a short auto-graded checkpoint; project prep organizer is completion scaffolding; final presentation is the only teacher-graded item using a 20-point clickable rubric.,yes - one teacher-graded final project only,,,,,,,,sources tracked,"Original Sway project: https://sway.cloud.microsoft/g7l55GybTkn8bQv5?ref=Link | Generated images in course_planning/content/8-1/module-19-assets/ | Google Slides template link | PowerPoint template link | BibGuru MLA citation tool | News source links saved in this JSON | Final prompt, organizer, answer key, and rubric in this JSON","Print the overview, source-check chart, article/course-connection organizer, 6-slide project directions, final checklist, and 20-point rubric. Students can complete the same project on paper or with a printed slide-planning worksheet.","This project should become a reusable middle-school current events project template across courses. Course-specific versions should swap examples and standards, not rebuild the whole project.",0,0,0,Built; review project flow and rubric.,"DRAFTED 2026-06-16 with Baptiste. Reusable middle-school current events project shell. Canvas-first scaffold, one teacher-graded final presentation, template/news links preserved from the original Sway."
20,exam,Study Guide & Final Exam,Semester 1 review and final exam,,,built,22366,https://altus.instructure.com/courses/3768/modules#module_22366,course_planning/content/8-1/module-20.json,final exam review page | downloadable study guide | final exam directions placeholder,Study guide is a review resource only. Actual exam will be handled later through Mastery Connect.,no - no teacher-graded Canvas item in this temporary review module,,,,,,,,ready - study guide is printable and saved as a Word document,course_planning/content/8-1/module-20-assets/US-History-8-1-Final-Exam-Study-Guide.docx,study guide and final exam directions packet,Actual Mastery Connect exam is not included here. This module only contains review directions and the downloadable study guide.,0,0,0,Built; connect or confirm Mastery Connect final exam when ready.,"Created 2026-06-16. Module 20 is a review/placeholder module for the Semester 1 Final Exam, also called the midterm. The actual exam will be connected later through Mastery Connect."
